,precision,recall,f1-score,support
3,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,17.0
5,0.6476683937823834,0.6410256410256411,0.6443298969072165,195.0
6,0.5467980295566502,0.555,0.5508684863523573,200.0
7,0.4444444444444444,0.45901639344262296,0.45161290322580644,61.0
8,0.2,0.3333333333333333,0.25,6.0
accuracy,0.5541666666666667,0.5541666666666667,0.5541666666666667,0.5541666666666667
macro avg,0.3064851446305797,0.3313958946335996,0.31613521441423004,480.0
weighted avg,0.5499292787708456,0.5541666666666667,0.5518050297169851,480.0
