,KNN,SVM,Naive Bayes,Random Forest,Decision Tree
Red Wine,0.48541666666666666,0.5041666666666667,0.5416666666666666,0.65625,0.56875
White Wine,0.47551020408163264,0.45918367346938777,0.42448979591836733,0.6761904761904762,0.5870748299319728
